skill_id,profile_id,skill_name,endorsements,sort_order
dfc47737-8f8d-48e7-bade-bc0c5f384c25,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Online Content Creation,,4
fbbe3613-6e78-4ff9-8bbc-7ee55844bee5,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Networking,,5
564c8e8e-7749-4688-befc-6cf003365252,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Canva,,6
39e65260-78ac-406f-8d8c-a15d182352b8,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Creative Writing,,7
d0d013e4-cd78-485d-83e6-8ab8ceeaa195,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Leadership,,8
02182d83-65b4-4cde-ad40-8e4bf08c0f2c,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Time Management,,9
4cb384b4-dc16-4c0a-91d3-99cb14f5aef0,132edda5-7e0f-4faf-9db7-4dcf646f9565,Government Advocacy,,0
d83ec2ab-8c07-4dc8-a743-667f4f10ded7,132edda5-7e0f-4faf-9db7-4dcf646f9565,Policy Analysis,,1
b03a3247-126b-4780-87b0-a3b41a849abf,132edda5-7e0f-4faf-9db7-4dcf646f9565,Program Evaluation,,2
74765649-df22-4d80-aab8-dc13fa1b73d1,132edda5-7e0f-4faf-9db7-4dcf646f9565,Program Development,,3
112015c5-c9ba-4f2c-8cff-0c77dd458ec0,132edda5-7e0f-4faf-9db7-4dcf646f9565,Public Policy,,4
545f603e-8636-4640-b218-c4e84a19b403,132edda5-7e0f-4faf-9db7-4dcf646f9565,Public Health,,5
a0dc1a3f-9072-477c-bdf0-2178294bc8c5,132edda5-7e0f-4faf-9db7-4dcf646f9565,Strategic Planning,,6
ef5271d6-0c96-4e7a-b5ee-93519aca22ac,132edda5-7e0f-4faf-9db7-4dcf646f9565,Program Management,,7
ab8757d2-0dcd-4c95-beb2-26eeac2c057b,132edda5-7e0f-4faf-9db7-4dcf646f9565,Research,,8
6137a1ef-14f1-48d7-8295-1537f48cd1b4,132edda5-7e0f-4faf-9db7-4dcf646f9565,Grant Writing,,9
0c904756-6962-4d66-a100-1939a0226d3c,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Collaborative Work,,0
86118d4e-3d9b-4e6a-a089-0b0785fa6887,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Organization Skills,,1
9d63d5b0-a41a-41c4-b241-eb8e7c68b14e,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Time Management,,2
2b81bc9f-cd1d-407b-88f0-ec900417b7a9,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Event Planning,,3
62c36a67-cd32-4c7a-942f-0fb7ca803973,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Customer Satisfaction,,4
2cc3a8d0-bd41-4afd-aee7-3b577b929b72,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Customer Support,,5
5cd3c25a-4075-4a58-9bdb-7264ebcab693,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Team Leadership,,6
5f15966e-e1a1-4d94-840c-8ddf1aa47a7a,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Team Motivation,,7
6a227f87-7113-4ecc-9786-e099dcec0508,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Problem Solving,,8
a39a5622-3942-4d31-a6b6-73cb97a17e27,3fa1944d-4ac9-43ec-bb6c-8661fb188dbd,Collaborative Problem Solving,,9
0154b06a-ea7d-4dee-9c10-f9c9c0c96f87,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Project Management,,0
32e3be2d-8234-484a-9148-2fbb14ae72d8,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Strategic Partnerships,,1
6dfa8aae-cd3f-4ce7-ae53-34f10b020f2b,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Organizational Leadership,,2
8d4f9e42-6d69-4d1e-a9be-b1d6fe1f049e,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Event Management,,3
220340ad-03a2-48c6-a75e-4a5475324fd0,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Partnership Development,,4
769cf984-7011-4bf7-aa50-589d2ba21075,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Community Engagement,,5
8d46e0f5-e6e6-4aef-80f0-4b69445bdb90,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Stakeholder Relations,,6
f8246793-2c42-4801-aaf2-7bc89f258fa9,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Event Coordination,,7
c414911d-8955-403f-b518-ff1e0a15d01e,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Program Management,,8
987f64a5-3e15-43d7-b12f-e8e14002787e,f9d35219-08ea-4a5d-81e8-95a859aabe3f,Clinical Skills,,9
b3c01149-cf8f-46a8-ac33-b24da9e6dc0c,b09e11c3-3662-43d4-be74-d01aa75f830e,Emocodes,,0
ba92f4a1-a1d6-4998-bc43-b0276e6f4dcd,b09e11c3-3662-43d4-be74-d01aa75f830e,MNE Python (for EEG processing and analysis),,1
8074f061-48c8-4f81-84ef-ff164e87178b,b09e11c3-3662-43d4-be74-d01aa75f830e,Pandas (Software),,2
2ae44a39-560a-4d71-b3bd-f41ea2cf5cf5,b09e11c3-3662-43d4-be74-d01aa75f830e,Python (Programming Language),,3
4fb21317-b4ec-4a6a-84b2-d97ab2aa75f5,b09e11c3-3662-43d4-be74-d01aa75f830e,Clinical Research,,4
a9c546d8-5515-4f22-b8c3-2a57b03086b1,b09e11c3-3662-43d4-be74-d01aa75f830e,R (Programming Language),,5
c4cece0a-2fc3-4e88-80b7-7f799dbb863d,b09e11c3-3662-43d4-be74-d01aa75f830e,Data Entry,,6
ac6e0ac3-f2f5-4f07-a05c-9fb8579ac55e,b09e11c3-3662-43d4-be74-d01aa75f830e,MRI,,7
72d03753-972b-4abc-8af1-7609157f1350,b09e11c3-3662-43d4-be74-d01aa75f830e,EEG,,8
2d8747ff-5f3e-4493-93b0-6d98fbef1e7e,b09e11c3-3662-43d4-be74-d01aa75f830e,Computer Science,,9
e9f0cfe9-999f-4469-94bc-95748bcb81d6,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Analytical Skills,,0
b68b6b1e-858c-4a2e-ac2b-65472b5ed8d0,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Research Collaboration,,1
