profile_id,source_section,raw_keyword,context_text
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,As a Software Developer & Data Scientist specializing in health tech,"As a Software Developer & Data Scientist specializing in health tech, I build scalable, production-grade software that seamlessly integrates advanced AI and machine learning capabilities into clinical workflows. Currently developing robust software systems at the University of Calgary, my expertise lies at the intersection of full-stack software architecture and applied AI. I focus on transforming complex clinical datasets and Electronic Health Records (EHR) into reliable, high-performance applications that improve patient outcomes. Key Highlights & Expertise: -AI-Applied Software Engineering: Architected an end-to-end clinical risk prediction application, integrating fine-tuned Transformer models (Bio-BERT/ClinicalBERT) via PyTorch directly into secure, cloud-native software microservices. -Cloud Architecture & MLOps: Experienced in designing scalable backend infrastructure on AWS (ECS, EKS, SageMaker) using Docker and robust CI/CD pipelines to ensure efficient, low-latency model inference in production. I hold a Master's in Software Engineering, providing me with a deep foundation in algorithm design, object-oriented programming, and scalable systems. I am passionate about modern software craftsmanship, currently expanding my focus into building robust deployment pipelines for clinical LLMs and implementing Explainable AI (XAI) frameworks within software user interfaces. Always open to connecting with fellow engineers, architects, and innovators building the future of health tech."
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,I build scalable,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,production-grade software that seamlessly integrates advanced AI and machine learning capabilities into clinical workflows,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,Currently developing robust software systems at the University of Calgary,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,my expertise lies at the intersection of full-stack software architecture and applied AI,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,I focus on transforming complex clinical datasets and Electronic Health Records (EHR) into reliable,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,high-performance applications that improve patient outcomes,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,Key Highlights & Expertise,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,AI-Applied Software Engineering,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,Architected an end-to-end clinical risk prediction application,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,integrating fine-tuned Transformer models (Bio-BERT/ClinicalBERT) via PyTorch directly into secure,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,cloud-native software microservices,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,Cloud Architecture & MLOps,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,Experienced in designing scalable backend infrastructure on AWS (ECS,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,EKS,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,SageMaker) using Docker and robust CI/CD pipelines to ensure efficient,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,low-latency model inference in production,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,I hold a Master's in Software Engineering,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,providing me with a deep foundation in algorithm design,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,object-oriented programming,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,and scalable systems,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,I am passionate about modern software craftsmanship,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,currently expanding my focus into building robust deployment pipelines for clinical LLMs and implementing Explainable AI (XAI) frameworks within software user interfaces,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,Always open to connecting with fellow engineers,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,architects,
d2199e31-d8f5-4fec-81cf-10506771a2c5,about,and innovators building the future of health tech,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Homework Help,Homework Help
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,One-on-one Instruction,One-on-one Instruction
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Individualized Instruction,Individualized Instruction
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Autism Spectrum Disorders,Autism Spectrum Disorders
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Public Outreach,Public Outreach
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Corporate Outreach,Corporate Outreach
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Community Outreach,Community Outreach
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Social Outreach,Social Outreach
