log_id,source_url,final_url,http_status,status,error_msg,duration_sec,crawled_at
78acef71-08e4-4e41-be86-b2e1256b98b8,https://www.linkedin.com/in/hadi-hassan-06b384232/,https://www.linkedin.com/in/hadi-hassan-06b384232/,200,success,,70.03,2026-05-30T03:58:25.006035+00:00
08c91094-44c1-4b9f-a8b5-23e7cc8824f9,https://www.linkedin.com/in/ife-owojori-3a2265395/,https://www.linkedin.com/in/ife-owojori-3a2265395/,200,success,,68.75,2026-05-30T04:03:11.376404+00:00
e2187d69-cda9-4edd-a026-5f361a3adfc4,https://www.linkedin.com/in/jonathan-l-b10081126/,https://www.linkedin.com/in/jonathan-l-b10081126/,200,success,,77.33,2026-05-30T04:06:31.030023+00:00
b25c456a-e67c-49b9-abd8-e953bd4fc2d0,https://www.linkedin.com/in/shaelenestanding/,https://www.linkedin.com/in/shaelenestanding/,200,success,,78.16,2026-05-30T04:11:31.833466+00:00
d9ff73e1-983d-4ef6-813c-306f3a4cfe5d,https://www.linkedin.com/in/umar-zaidi-14b5102aa/,https://www.linkedin.com/in/umar-zaidi-14b5102aa/,200,success,,68.63,2026-05-30T04:15:44.928337+00:00
a2fbbb3f-56a6-4e5b-af6d-1980573bd0f8,https://www.linkedin.com/in/yansing-huang-b4a25233a/,https://www.linkedin.com/in/yansing-huang-b4a25233a/,200,success,,79.23,2026-05-30T04:19:24.025453+00:00
6374d51f-3a17-4657-b314-314ce9291eca,https://www.linkedin.com/in/yasmeen-naseem-705955347/,https://www.linkedin.com/in/yasmeen-naseem-705955347/,200,success,,8.38,2026-05-30T04:23:27.218617+00:00
9e35215d-2d11-41ba-9a95-1534723eb298,https://www.linkedin.com/in/jslobozian/,https://www.linkedin.com/in/jslobozian,200,success,,4.11,2026-05-30T04:26:49.725296+00:00
afc4a843-c333-4451-b1b0-ffdf4890c7f7,https://www.linkedin.com/in/drturin/,https://www.linkedin.com/in/drturin/,200,success,,4.49,2026-05-30T04:28:35.445596+00:00
3fe9a2c7-cf5a-4651-acae-a613c3dd9bb1,https://www.linkedin.com/in/sophiadhami/,https://www.linkedin.com/in/sophiadhami/,200,success,,3.89,2026-05-30T04:31:56.850968+00:00
75bf729f-0f06-4434-b612-6588686989ba,https://www.linkedin.com/in/indra11/,https://www.linkedin.com/in/indra11/,200,success,,4.43,2026-05-30T04:35:03.913437+00:00
7c86d366-3400-4dc7-892f-809ea84225c9,https://www.linkedin.com/in/tanu-nanda-prabhu-a15a091b5/,https://www.linkedin.com/in/tanu-nanda-prabhu-a15a091b5/,200,success,,4.41,2026-05-30T04:36:44.593936+00:00
244e5d5b-1756-42e4-bc7d-62e4193e273c,https://www.linkedin.com/in/randymarusyk/,https://www.linkedin.com/in/randymarusyk/,200,success,,4.2,2026-05-30T04:39:19.518542+00:00
182c3b95-99f0-4531-99cf-7d386a2556f6,https://www.linkedin.com/in/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86-%D8%AD%DA%A9%DB%8C%D9%85%DB%8C-424191117/,https://www.linkedin.com/in/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86-%D8%AD%DA%A9%DB%8C%D9%85%DB%8C-424191117/,200,success,,4.5,2026-05-30T04:44:04.543176+00:00
